ID,Strassentyp,Bonitaet,Kaufkraft,Anteil Deutscher,Altersstruktur,Bebauung,Regionaltyp,Status,Bequemer Experte,Treuer Vertreterkunde,Anspruchsvoller Delegierer,Preisorientierter Rationalist,ueberforderter Unterstuetzungssucher,Skeptisch Gleichgueltiger,Distinguiert Konservativer,Gesunder Kraftprotz,Unkritisch Wehleidiger,Skeptischer Verweigere,Informierter Koerperbewusster,Eingeschraenkter Kassenpatient,Konservativer Arztglaeubiger,Aboscore,Sinus-Milieus
954,Wohnstrasse,durchschnittlich,niedrig,niedrig,gemischte Altersstruktur,Ein- und Zweifamilienhaeuser,Kern von Ballungsgebieten,mittel,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,MBL
955,Wohnstrasse,durchschnittlich,niedrig,niedrig,gemischte Altersstruktur,Ein- und Zweifamilienhaeuser,Kern von Ballungsgebieten,mittel,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,MAT
956,Wohnstrasse,durchschnittlich,niedrig,niedrig,gemischte Altersstruktur,Drei- bis Fuenffamilienhaeuser,Kern von Ballungsgebieten,mittel,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,MAT
957,Wohnstrasse,durchschnittlich,niedrig,niedrig,gemischte Altersstruktur,Drei- bis Fuenffamilienhaeuser,Kern von Ballungsgebieten,mittel,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,MAT
958,Wohnstrasse,durchschnittlic,niedrig,niedrig,gemischte Altersstruktur,Drei- bis Fuenffamilienhaeuser,Kern von Ballungsgebieten,mittel,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,MAT
959,Wohnstrasse,durchschnittlic,niedrig,niedrig,gemischte Altersstruktur,Drei- bis Fuenffamilienhaeuser,Kern von Ballungsgebieten,mittel,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,MAT
960,Wohnstrasse,durchschnittlic,niedrig,niedrig,gemischte Altersstruktur,Drei- bis Fuenffamilienhaeuser,Kern von Ballungsgebieten,mittel,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,MAT
961,Wohnstrasse,durchschnittlic,niedrig,niedrig,gemischte Altersstruktur,Haeuser mit 6 bis 9 Haushalten,Kern von Ballungsgebieten,mittel,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,MAT
962,Wohnstrasse,schlecht,niedrig,niedrig,gemischte Altersstruktur,Drei- bis Fuenffamilienhaeuser,Kern von Ballungsgebieten,mittel,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,HED
963,Wohnstrasse,schlecht,niedrig,niedrig,gemischte Altersstruktur,Drei- bis Fuenffamilienhaeuser,Kern von Ballungsgebieten,mittel,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,HED
964,Wohnstrasse,schlecht,niedrig,niedrig,gemischte Altersstruktur,Drei- bis Fuenffamilienhaeuser,Kern von Ballungsgebieten,mittel,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,MAT
965,Wohnstrasse,schlecht,niedrig,niedrig,gemischte Altersstruktur,Haeuser mit 6 bis 9 Haushalten,Kern von Ballungsgebieten,mittel,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,MAT
966,Wohnstrasse,schlecht,niedrig,hoch,gemischte Altersstruktur,Haeuser mit 10 bis 19 Haushalten,Kern von Ballungsgebieten,mittel,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,MAT
967,Wohnstrasse,durchschnittlic,niedrig,niedrig,gemischte Altersstruktur,Haeuser mit 6 bis 9 Haushalten,Kern von Ballungsgebieten,mittel,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,HED
968,Wohnstrasse,schlecht,niedrig,hoch,gemischte Altersstruktur,Haeuser mit 6 bis 9 Haushalten,Kern von Ballungsgebieten,mittel,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,HED
969,Wohnstrasse,durchschnittlich,niedrig,niedrig,gemischte Altersstruktur,Haeuser mit 6 bis 9 Haushalten,Kern von Ballungsgebieten,mittel,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,MAT
970,Wohnstrasse,schlecht,niedrig,hoch,gemischte Altersstruktur,Drei- bis Fuenffamilienhaeuser,Kern von Ballungsgebieten,mittel,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,MAT
971,Wohnstrasse,schlecht,niedrig,hoch,gemischte Altersstruktur,Drei- bis Fuenffamilienhaeuser,Kern von Ballungsgebieten,mittel,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,MAT
972,Wohnstrasse,schlecht,niedrig,niedrig,gemischte Altersstruktur,Drei- bis Fuenffamilienhaeuser,Kern von Ballungsgebieten,niedrig,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,MAT
973,Wohnstrasse,schlecht,niedrig,niedrig,gemischte Altersstruktur,Drei- bis Fuenffamilienhaeuser,Kern von Ballungsgebieten,niedrig,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,MAT
974,Wohnstrasse,schlecht,niedrig,niedrig,gemischte Altersstruktur,Haeuser mit 6 bis 9 Haushalten,Kern von Ballungsgebieten,niedrig,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,HED
975,Wohnstrasse,schlecht,niedrig,niedrig,gemischte Altersstruktur,Haeuser mit 6 bis 9 Haushalten,Kern von Ballungsgebieten,niedrig,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,MAT
976,Wohnstrasse,schlecht,niedrig,niedrig,gemischte Altersstruktur,Haeuser mit 6 bis 9 Haushalten,Kern von Ballungsgebieten,mittel,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,HED
977,Wohnstrasse,schlecht,niedrig,niedrig,gemischte Altersstruktur,Haeuser mit 10 bis 19 Haushalten,Kern von Ballungsgebieten,mittel,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,HED
978,Wohnstrasse,schlecht,niedrig,mittel,gemischte Altersstruktur,Drei- bis Fuenffamilienhaeuser,Kern von Ballungsgebieten,niedrig,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,MAT
979,Mischform,durchschnittlich,niedrig,niedrig,gemischte Altersstruktur,Drei- bis Fuenffamilienhaeuser,Kern von Ballungsgebieten,mittel,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,HED
980,Mischform,schlecht,niedrig,mittel,gemischte Altersstruktur,Haeuser mit 10 bis 19 Haushalten,Kern von Ballungsgebieten,mittel,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,MAT
981,Mischform,schlecht,niedrig,niedrig,gemischte Altersstruktur,Haeuser mit 6 bis 9 Haushalten,Kern von Ballungsgebieten,mittel,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,HED
982,Mischform,schlecht,niedrig,niedrig,gemischte Altersstruktur,Haeuser mit 6 bis 9 Haushalten,Kern von Ballungsgebieten,mittel,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,MAT
983,Mischform,durchschnittlic,niedrig,niedrig,gemischte Altersstruktur,Haeuser mit 6 bis 9 Haushalten,Kern von Ballungsgebieten,niedrig,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,HED
984,Mischform,schlecht,niedrig,niedrig,gemischte Altersstruktur,Haeuser mit 6 bis 9 Haushalten,Kern von Ballungsgebieten,niedrig,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,MAT
985,Mischform,schlecht,niedrig,niedrig,gemischte Altersstruktur,Haeuser mit 6 bis 9 Haushalten,Kern von Ballungsgebieten,niedrig,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,MAT
986,Ladenstrasse,durchschnittlich,niedrig,niedrig,gemischte Altersstruktur,Haeuser mit 6 bis 9 Haushalten,Kern von Ballungsgebieten,hoch,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,POM
987,Ladenstrasse,durchschnittlic,niedrig,niedrig,gemischte Altersstruktur,Haeuser mit 20 und mehr Haushalten,Kern von Ballungsgebieten,hoch,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,POM
988,Ladenstrasse,schlecht,niedrig,niedrig,gemischte Altersstruktur,Haeuser mit 20 und mehr Haushalten,Kern von Ballungsgebieten,hoch,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,POM
989,Ladenstrasse,schlecht,niedrig,niedrig,gemischte Altersstruktur,Haeuser mit 20 und mehr Haushalten,Kern von Ballungsgebieten,hoch,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,POM
990,Ladenstrasse,schlecht,niedrig,niedrig,gemischte Altersstruktur,Haeuser mit 20 und mehr Haushalten,Kern von Ballungsgebieten,hoch,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,POM
991,Ladenstrasse,durchschnittlich,niedrig,mittel,gemischte Altersstruktur,Haeuser mit 10 bis 19 Haushalten,Kern von Ballungsgebieten,hoch,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,INT
992,Ladenstrasse,durchschnittlic,niedrig,hoch,gemischte Altersstruktur,Haeuser mit 20 und mehr Haushalten,Kern von Ballungsgebieten,hoch,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,POM
993,Ladenstrasse,durchschnittlic,niedrig,niedrig,gemischte Altersstruktur,Haeuser mit 20 und mehr Haushalten,Kern von Ballungsgebieten,hoch,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,POM
994,Ladenstrasse,durchschnittlic,niedrig,niedrig,gemischte Altersstruktur,Haeuser mit 20 und mehr Haushalten,Kern von Ballungsgebieten,hoch,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,POM
995,Ladenstrasse,durchschnittlic,niedrig,niedrig,gemischte Altersstruktur,Haeuser mit 20 und mehr Haushalten,Kern von Ballungsgebieten,hoch,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,POM
996,Ladenstrasse,durchschnittlic,niedrig,niedrig,gemischte Altersstruktur,Haeuser mit 20 und mehr Haushalten,Kern von Ballungsgebieten,hoch,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,POM
997,Ladenstrasse,durchschnittlic,niedrig,niedrig,gemischte Altersstruktur,Haeuser mit 20 und mehr Haushalten,Kern von Ballungsgebieten,hoch,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,mittlere Wahrscheinlichkeit,hohe Wahrscheinlichkeit,hohe Wahrscheinlichkeit,geringe Wahrscheinlichkeit,POM
